"hg1";"hg2";"distance"
"C4b3";"C4b";"1"
"C4b3a";"C4b";"2"
"C4b3a*";"C4b3a*";"0"
"C4b3a1";"C4b3a1";"0"
"C4b3b";"C4b3b";"0"
"C4b3b*";"C4b3b";"1"
"C4b5";"C4b5";"0"
"C4b6";"C4b";"1"
"C4b7";"C4b7";"0"
"C4b8";"C4b";"1"
"C4b8a";"C4b";"2"
"C4c";"C4c";"0"
"C4c1";"C4c1";"0"
"C4c1a";"C4c1a";"0"
"C4c1b";"C4c1";"1"
"C4c2";"C4c2";"0"
"C4d";"C4";"3"
"C4e";"C4e";"0"
"C5";"C5";"0"
"C5+16093";"C5";"1"
"C5a";"C5";"1"
"C5a1";"C5";"2"
"C5a2";"C5a2";"0"
"C5a2a";"C5a2";"1"
"C5a2b";"C5a2";"1"
"C5a2b1";"C5a2b1";"0"
"C5b";"C5b";"0"
"C5b1";"C5b";"1"
"C5b1*";"C5b1*";"0"
"C5b1a";"C5b1a";"0"
"C5b1a1";"C5b1a1";"0"
"C5b1b";"C5b1b";"0"
"C5b1b1";"C5b1b";"1"
"C5c";"C5c";"0"
"C5c+16234";"C5c+16234";"0"
"C5c1";"C5c+16234";"1"
"C5c1a";"C5c+16234";"2"
"C5d";"C5d";"0"
"C5d1";"C5d1";"0"
"C5d2";"C5d";"1"
"C5d2*";"C5d2*";"0"
"C7";"C7";"0"
"C7*";"C7*";"0"
